id_tipoClase,nombre,descripcion,id_ejercicio
1,Foxtrot Charlie Hotel Echo Yankee India Tango Quebec Victor Bravo Oscar Juliett X-ray Uniform,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin,1
2,Charlie November Victor Whiskey Oscar Papa Hotel India Bravo Alfa Yankee Golf Zulu Delta,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue,2
3,Papa Foxtrot Echo Yankee India Sierra Lima Victor X-ray Romeo Kilo Delta Charlie Alfa Uniform,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,3
4,Lima Echo Bravo November Foxtrot Oscar Whiskey Tango Hotel Papa Alfa,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non,4
5,Echo Alfa Lima Yankee X-ray Kilo Hotel Papa November Zulu Uniform Oscar Juliett Bravo Delta Whiskey India Tango Sierra,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,5
6,Uniform Echo Romeo Juliett Whiskey Kilo Bravo Hotel Papa Mike Oscar Yankee,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,6
7,Oscar Kilo Juliett X-ray Yankee Romeo November Tango Whiskey Bravo Delta Hotel,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper,7
8,Juliett November Tango Kilo Bravo Papa Sierra Mike Uniform India Romeo Oscar Whiskey Zulu Alfa Golf Hotel Foxtrot X-ray Echo,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio,8
9,Delta Lima Uniform Charlie Mike Kilo Foxtrot Alfa Sierra Yankee November Whiskey Golf Victor India Romeo Bravo Tango,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,9
10,Zulu Echo Uniform Juliett Oscar Delta Kilo X-ray Mike India Papa Hotel Victor Yankee,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit,10
11,Oscar Bravo Golf Sierra November Quebec Uniform Mike Kilo Alfa,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,11
12,Quebec Victor Oscar Juliett Kilo X-ray Alfa Zulu Foxtrot Delta Charlie Uniform Echo Golf Lima Tango Papa Hotel Romeo,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui,12
13,Foxtrot Romeo Yankee Alfa Lima Juliett Oscar Victor India Uniform Golf Charlie Tango,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,13
14,Delta Romeo Sierra Juliett India Lima Victor Charlie Alfa November Whiskey Quebec Kilo,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo,14
15,X-ray Foxtrot Romeo Delta Uniform Mike Yankee Oscar Tango Alfa Bravo India Lima Papa Zulu November,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,15
